strategy,run_id,won,final_infection_pct,tokens_used,ticks_to_threshold
degree,71,1,42.5,5,20
degree,72,1,0.0,5,20
degree,73,1,0.0,5,20
degree,74,1,21.67,5,20
degree,75,1,0.0,5,20
degree,76,1,0.0,5,20
degree,77,1,0.0,5,20
degree,78,1,23.33,5,20
degree,79,1,0.0,5,20
degree,80,1,0.0,5,20
degree,81,1,0.0,5,20
degree,82,1,37.5,5,20
degree,83,1,24.17,5,20
degree,84,1,0.0,5,20
degree,85,1,0.0,5,20
degree,86,1,30.0,5,20
degree,87,1,0.0,5,20
degree,88,1,0.0,5,20
degree,89,1,32.5,5,20
degree,90,1,0.0,5,20
degree,91,1,0.0,5,20
degree,92,1,0.0,5,20
degree,93,1,0.0,5,20
degree,94,1,22.5,5,20
degree,95,1,0.0,5,20
degree,96,1,11.67,5,20
degree,97,1,0.0,5,20
degree,98,1,0.0,5,20
degree,99,1,0.0,5,20
random,0,0,50.0,5,16
random,1,0,55.0,5,16
random,2,1,40.0,5,20
random,3,1,0.0,5,20
random,4,1,48.33,5,20
random,5,0,50.0,5,13
random,6,1,0.0,5,20
random,7,1,0.0,5,20
random,8,1,32.5,5,20
random,9,1,0.0,5,20
random,10,1,40.0,5,20
random,11,0,53.33,5,14
random,12,1,38.33,5,20
random,13,1,37.5,5,20
random,14,1,40.83,5,20
random,15,1,0.0,5,20
random,16,1,0.0,5,20
random,17,1,27.5,5,20
random,18,1,46.67,5,20
random,19,1,34.17,5,20
random,20,1,0.0,5,20
random,21,1,0.0,5,20
random,22,1,0.0,5,20
random,23,1,0.0,5,20
random,24,0,51.67,5,16
random,25,1,43.33,5,20
random,26,1,35.0,5,20
random,27,1,0.0,5,20
random,28,1,0.0,5,20
random,29,0,50.0,5,19
random,30,1,26.67,5,20
random,31,1,49.17,5,20
random,32,1,0.0,5,20
random,33,1,31.67,5,20
random,34,0,52.5,5,15
random,35,0,50.0,5,13
random,36,1,43.33,5,20
random,37,1,40.0,5,20
random,38,1,44.17,5,20
random,39,1,32.5,5,20
random,40,0,50.0,5,13
random,41,0,54.17,5,12
random,42,1,0.0,5,20
random,43,1,0.0,5,20
random,44,1,0.0,5,20
random,45,1,33.33,5,20
random,46,1,34.17,5,20
random,47,1,45.0,5,20
random,48,1,35.0,5,20
random,49,1,0.0,5,20
random,50,1,0.0,5,20
random,51,1,0.0,5,20
random,52,0,50.0,5,12
random,53,0,53.33,5,15
random,54,1,0.0,5,20
random,55,1,41.67,5,20
random,56,1,40.83,5,20
random,57,1,0.0,5,20
random,58,1,0.0,5,20
random,59,0,50.0,5,20
random,60,0,50.0,5,19
random,61,1,0.0,5,20
random,62,1,0.0,5,20
random,63,1,0.0,5,20
random,64,0,52.5,5,15
random,65,1,40.0,5,20
random,66,1,0.0,5,20
random,67,0,50.0,5,19
random,68,1,39.17,5,20
random,69,0,50.83,5,18
random,70,0,51.67,5,15
random,71,1,0.0,5,20
random,72,0,55.0,5,15
random,73,1,29.17,5,20
random,74,1,33.33,5,20
random,75,1,47.5,5,20
random,76,1,0.0,5,20
random,77,1,43.33,5,20
random,78,1,0.0,5,20
random,79,1,0.0,5,20
random,80,0,56.67,5,12
random,81,1,46.67,5,20
random,82,1,40.0,5,20
random,83,1,0.0,5,20
random,84,1,47.5,5,20
random,85,1,39.17,5,20
random,86,1,39.17,5,20
random,87,1,0.0,5,20
random,88,1,29.17,5,20
random,89,1,35.0,5,20
random,90,1,0.0,5,20
random,91,0,50.83,5,12
random,92,0,52.5,5,19
random,93,1,15.83,5,20
random,94,1,0.0,5,20
random,95,1,40.83,5,20
random,96,1,45.0,5,20
random,97,1,0.0,5,20
random,98,1,38.33,5,20
random,99,1,0.0,5,20
none,0,1,0.0,0,20
none,1,0,54.17,0,15
none,2,0,59.17,0,19
none,3,0,51.67,0,16
none,4,1,0.0,0,20
none,5,1,0.0,0,20
none,6,1,0.0,0,20
none,7,0,51.67,0,19
none,8,0,52.5,0,15
none,9,1,0.0,0,20
none,10,1,44.17,0,20
none,11,1,42.5,0,20
none,12,1,0.0,0,20
none,13,1,0.0,0,20
none,14,0,53.33,0,15
none,15,1,0.0,0,20
none,16,1,0.0,0,20
none,17,1,39.17,0,20
none,18,1,0.0,0,20
